date,open,high,low,close,volume,return
20000104,178,178,175,178,35125,6.5868
20000105,178,182,176,182,70449,2.2472
20000106,181,182,178,178,34579,-2.1978
20000107,172,175,170,173,41182,-2.809
20000110,178,180,175,179,48342,3.4682
20000111,181,183,175,176,48622,-1.676
20000112,177,181,176,181,37852,2.8409
20000113,181,181,178,178,25817,-1.6575
20000114,180,185,179,182,50468,2.2472
20000115,188,189,186,188,47479,3.2967
20000117,190,190,187,187,27177,-0.5319
20000118,187,187,183,184,23044,-1.6043
20000119,184,187,183,184,23604,0
20000120,184,184,181,182,22013,-1.087
20000121,182,186,182,186,19849,2.1978
20000124,188,191,187,188,30652,1.0753
20000125,193,193,190,193,39156,2.6596
20000126,199,206,199,206,62645,6.7358
20000127,208,211,204,208,50400,0.9709
20000128,201,204,201,204,34642,-1.9231
20000129,198,200,198,200,25714,-1.9608
20000131,198,204,197,203,29418,1.5
20000201,205,205,201,202,26796,-0.4926
20000209,214,214,207,211,44213,4.4554
20000210,209,215,207,214,31077,1.4218
20000211,217,222,215,219,37639,2.3364
20000214,218,218,214,214,24559,-2.2831
20000215,214,217,212,215,18398,0.4673
20000216,215,216,213,213,13890,-0.9302
20000217,211,213,210,211,20375,-0.939
20000218,212,214,207,208,21321,-1.4218
20000219,205,207,205,205,15672,-1.4423
20000221,203,203,195,195,26940,-4.878
20000222,192,198,190,195,29432,0
20000223,195,195,193,194,12934,-0.5128
20000224,195,197,194,195,14593,0.5155
20000225,195,200,195,199,29021,2.0513
20000229,200,203,200,201,17285,1.005
20000301,205,206,204,206,15842,2.4876
20000302,207,208,203,203,12033,-1.4563
20000303,202,204,202,203,10175,0
20000304,205,207,203,204,11936,0.4926
20000306,204,205,199,200,12658,-1.9608
20000307,198,201,197,199,14657,-0.5
20000308,198,199,196,198,11346,-0.5025
20000309,198,200,198,200,12585,1.0101
20000310,201,202,194,195,17500,-2.5
20000313,190,190,182,182,40641,-6.6667
20000314,182,187,180,186,25465,2.1978
20000315,185,188,182,183,26992,-1.6129
20000316,179,186,172,184,40862,0.5464
20000317,185,190,183,190,46864,3.2609
20000320,184,184,184,184,3709,-3.1579
