date,Y9999_open,Y9999_high,Y9999_low,Y9999_close,Y9999_volume,Y9999_return,Y9999_turnover_rate,Y9999_shares_outstanding
20000104,8644.91,8803.61,8642.5,8756.55,3903000,3.642,1.2311,303514677
20000105,8690.6,8867.68,8668.02,8849.87,4602000,1.0657,1.4634,303514677
20000106,8876.59,9023.99,8863.91,8922.03,4811000,0.8154,1.5263,303514677
20000107,8856.87,8940.77,8739.43,8845.47,4481000,-0.8581,1.4344,303588457
20000110,8918.6,9126.02,8891.79,9102.6,4363000,2.9069,1.3859,303588457
20000111,9199.1,9332.52,8890.45,8927.03,5396000,-1.9288,1.7199,303616957
20000112,8964.78,9144.65,8937.31,9144.65,3937000,2.4378,1.2564,303616957
20000113,9168.73,9237.85,9095.35,9107.19,4566000,-0.4096,1.4616,303616957
20000114,9172.17,9236.85,8967.56,9023.24,3835000,-0.9218,1.2223,303635157
20000115,9155.74,9210.37,9105.02,9191.37,3284000,1.8633,1.0329,303635157
20000117,9256.57,9384.52,9230.39,9315.43,4058000,1.3497,1.2846,303635157
20000118,9346.98,9353.89,9210.36,9250.19,3859000,-0.7003,1.2181,303635157
20000119,9255.7,9335.73,9150.86,9151.44,3629000,-1.0675,1.1513,303635157
20000120,9175.27,9211.34,9077.7,9136.95,3137000,-0.1583,0.9964,303675061
20000121,9170.41,9305.27,9170.41,9255.94,3562000,1.3023,1.1232,303709423
20000124,9327.98,9425.87,9327.98,9387.07,4198000,1.4167,1.3313,303712434
20000125,9411.1,9413.21,9308.01,9372.37,3916000,-0.1566,1.2342,303712434
20000126,9469.74,9617.32,9469.74,9581.96,4712000,2.2363,1.4824,303735286
20000127,9639.86,9733.26,9618.3,9628.98,5061000,0.4907,1.6018,303735286
20000128,9600.45,9753.72,9600.45,9696.91,5081000,0.7055,1.6153,303735325
20000129,9618.78,9677.55,9585.82,9636.38,3678000,-0.6242,1.1573,303735325
20000131,9653.24,9749.51,9613.8,9744.89,3256000,1.126,1.0185,303887229
20000201,9829.68,9901.8,9800.63,9856.39,4478000,1.1442,1.4123,305038675
20000209,10039.67,10137.24,9932.07,10008.88,4666000,1.5471,1.4532,305038675
20000210,10008.38,10098.3,9957.66,10057.67,5272000,0.4875,1.6646,305500675
20000211,10125.51,10227.33,10096.54,10128.67,5697000,0.7059,1.7966,305500675
20000214,10140.65,10167.71,9963.5,9971.45,4853000,-1.5522,1.5287,305500812
20000215,9982.27,10014.25,9853.86,9957.74,4060000,-0.1375,1.2774,305500812
20000216,10010.87,10099.97,10010.87,10064.49,4348000,1.072,1.3596,305572331
20000217,10089.89,10267.46,10089.89,10202.2,5728000,1.3683,1.8034,305577649
20000218,10266.79,10393.59,10062.23,10096.38,6391000,-1.0372,2.0189,305594592
20000219,10084.29,10168.18,10031.92,10161.05,5620000,0.6405,1.7806,305478413
20000221,10165.24,10212.99,9912.67,9912.67,6714000,-2.4444,2.1309,305483388
20000222,9860.12,9917.13,9596.68,9731.93,5223000,-1.8233,1.6529,305483388
20000223,9738.19,9803.81,9623.46,9642.26,4032000,-0.9214,1.2773,305483935
20000224,9725.3,9781.31,9582,9599.17,3927000,-0.4469,1.2435,305494556
20000225,9620.92,9639.12,9407.79,9432.49,3434000,-1.7364,1.09,305494681
20000229,9525.65,9581,9410.11,9435.94,2583000,0.0366,0.8171,305500454
20000301,9572.24,9689.1,9572.24,9689.1,3234000,2.6829,1.0192,306148217
20000302,9757.08,9781.27,9543.58,9543.82,2962000,-1.4994,0.9375,306148217
20000303,9557.66,9650.74,9547.4,9588.03,2821000,0.4632,0.891,306148217
20000304,9668.21,9712.24,9505.93,9517.97,2970000,-0.7307,0.9353,306186231
20000306,9519.8,9519.8,9356.58,9367.91,2337000,-1.5766,0.7369,306196853
20000307,9340.49,9440.32,9286.39,9380.07,2886000,0.1298,0.9136,306196853
20000308,9402.7,9482.18,9379.29,9389.49,2697000,0.1004,0.8559,306196853
20000309,9453.7,9587.27,9453.7,9587.27,3341000,2.1064,1.0579,306196853
20000310,9662.61,9712.39,9428.99,9429.6,3807000,-1.6446,1.1965,306196853
20000313,9279.9,9279.9,8807.36,8811.95,2453000,-6.5501,0.767,306196853
20000314,8728.3,8871.83,8598.07,8835.58,2716000,0.2682,0.8621,306196915
20000315,8794.3,8905.82,8638.24,8640.03,2518000,-2.2132,0.7976,306196915
20000316,8472.54,8714.06,8250.46,8682.76,2802000,0.4946,0.885,306222993
20000317,8700.99,8799.09,8610.58,8763.27,3518000,0.9272,1.1104,306224642
20000320,8509.32,8536.05,8483.41,8536.05,1858000,-2.5929,0.5909,306224642
20000321,8438.24,9021.89,8355.89,9004.48,3867000,5.4877,1.2224,306224769
20000322,9009.25,9201.15,8908.32,9069.39,3994000,0.7209,1.2564,306224769
20000323,9198.45,9567.89,9198.45,9533.87,4434000,5.1214,1.3833,305808979
20000324,9565.24,9571.28,9405.14,9482.64,4223000,-0.5373,1.3235,305812921
20000327,9531.91,9858.57,9531.91,9807.57,4205000,3.4266,1.3055,305812921
20000328,9884.18,9985.15,9772.54,9856.6,4529000,0.4999,1.422,305964842
20000329,9852.48,9914.14,9794.48,9805.69,3608000,-0.5165,1.1291,305964842
20000330,9827.85,10071.26,9827.85,9931.94,4119000,1.2875,1.2927,305965667
20000331,9890.89,10011.96,9798.61,9854.95,3271000,-0.7752,1.0295,306171284
20000401,9892.78,10050.43,9816.22,10050.43,2984000,1.9836,0.9405,306171284
20000405,9923.74,10238.11,9923.74,10186.17,3908000,1.3506,1.2205,306171291
20000406,10225.77,10328.98,9969.28,9969.28,4155000,-2.1293,1.3089,306171291
